course_code,course_name
CSC2001,기초프로그래밍
CSC2002,심화프로그래밍
CSC2003,객체지향프로그래밍
CSC2004,어드벤처디자인
CSC2007,자료구조
CSC2008,알고리즘
CSC2011,컴퓨터구성
CSC4001,운영체제
CSC4002,컴퓨터그래픽스
CSC4004,공개SW프로젝트
CSC4007,디지털신호처리
CSC4008,다변량및시계열데이터분석
CSC4009,데이터베이스
CSC4011,인간컴퓨터상호작용
CSC4014,형식언어
CSC4016,컴퓨터네트워크
CSC4017,병렬처리
CSC4018,종합설계1
CSC4019,종합설계2
CSC4022,머신러닝
CSC4024,컴퓨터보안
CSC4025,가상현실
CSC4027,자연어처리개론
CSC4028,시큐어코딩
CSC4031,양자컴퓨팅
CSE2025,계산적사고법
CSE4051,객체지향설계와패턴
DAI3001,개별연구(CS 제목과 이미지 쌍들로부터 이를 요약하는 제목과 이미지 생성)
DAI3066,개별연구(CSC의학지식그래프기반의약물-질병관계예측을통한약물재창출연구)
DAI3072,개별연구(CSC 다중 센서를 활용한 스마트미러기반 사용자 인식 연구)
DAI3074,개별연구(CSC 음성데이터를 통한 감정인식 연구)
DAI3075,개별연구(CSC 동형암호 활용 연구)
DAI3076,개별연구(CSC Privacy Enhacing Technology 심화 연구)
DAI3078,개별연구(CSC특정 사무프로세스 자동화를 위한 주요모듈 및 UI/UX개선연구)
DAI3105,개별연구(CSC 메타버스내 범죄자 회피 및 증거 기록을 위한 방안 연구)
DAI3130,개별연구(CSC딥러닝모델을 적용한 에지노드에서의위험감지및예측성능분석)
DAI3145,개별연구(CSC LMM 기반 무인시스템 연구1)
DAI3149,개별연구(반도체소자 전송 특성 평가)
DAI3162,개별연구(센서시스템에 활용 가능한 Deep learning 연구)
DAI3163,개별연구(반도체산업동향이해 (한국반도체산업협회))
DAI3164,개별연구(반도체공통요소기술의이해 (한국반도체산업협회))
DAI3175,개별연구(CSC 현장실습-모바일 로봇 인공지능 기술 개발)
DAI3176,개별연구(CSC 현장실습-영상 기반의 3차원 환경 인식 기술 개발)
DAI3177,개별연구(CSC 현장실습-지능형 사물인터넷 기술 개발)
DAI3178,개별연구(CSC AI 기반 인간 행동 인지 방법 연구)
DAI3184,개별연구(CSC 이글아이뷰 시스템 설계/연구)
DAI3185,개별연구(CSC 로봇을 활용한 작업계획 연구)
DAI3186,개별연구(CSC 격자구조 영상에서 격자 기본 단위 인식 및 응용 연구)
DAI3187,개별연구(CSC 딥러닝을이용한 CCTV영상에서의 이상행위자분석및예측기법연구)
DAI3188,개별연구(CSC AI모델 보안 강화 방법 연구)
DAI3206,개별연구(CSC YOLO 보다 빠르고 정확한 객체 인식방법 설계)
DAI3208,개별연구(CSC 현장실습-대용량 로그 분석을 통한 장애 감지 시스템 연구)
DAI3211,"개별연구(차세대 지능형 반도체 소재, 소자 물성 연구)"
DAI3212,개별연구(CSC 아동 사회정서 역량 극대화를 위한 CASEL-GraphRAG와 자율 AI Agent 모델 연구)
DAI3213,개별연구(CSC Agentic AI를 활용한 Virtual Lab 구축)
DAI3214,개별연구(CSC 인공위성 촬영 영상 품질 개선을 위한 설명 가능한 인공지능 기술 연구)
DAI3215,개별연구(CSC eBPF을 활용한 운영체제 분석 및 최적화 연구2)
DAI3216,개별연구(CSC 퍼블릭 클라우드 환경에서 Zone-to-Zone Kubernetes 네트워킹 구조 및 성능 분석 연구)
DAI3217,개별연구(CSC 이기종 IoT 디바이스 환경을 고려한 개인화 연합 학습 프레임워크 연구)
DAI3218,개별연구(CSC LLM 추론 파이프라인을 고려한 그래프 신경망 기반 자원 소모량 예측 연구)
DAI3219,"개별연구(CSC 자원 제약형 디바이스 클러스터 환경에서 K3s 기반 자원 오케스트레이션 기법 연구)	"""
DAI3220,"개별연구(CSC Agentic AI 서비스 환경에서 FaaS 기반 LLM 추론 자원 최적화 연구)	"""
DAI3222,개별연구(스마트 포토닉 발광소재 및 소자 심화실습)
DEC1077,직무이해와기업분석
DEV0006,21세기Leadership(경제사회)
DEV0009,사회봉사1
DEV0010,사회봉사2
DEV1003,취업실전전략
DEV1032,대학생의 자기주도적 학습전략
DEV1055,소셜벤처
DEV1063,비즈니스실무론
DEV1065,창의적기획과문제해결
DEV1066,코칭리더십
DEV1067,자기주도학습으로가는유학생학습전략
DEV1073,기업실무기초(인사)
DEV1074,공감의리더십
DEV1075,글로벌리더십
DEV1076,비전설정과커리어플래닝
DEV1078,스타트업과진로탐색
